Time,Right,Left
-0.54480131,NaN,NaN
-0.54475961,NaN,NaN
-0.54471789,NaN,NaN
-0.54467617,NaN,NaN
-0.54463446,NaN,NaN
-0.54459276,NaN,NaN
-0.54456897,NaN,NaN
-0.54452726,6,2
-0.54448556,3,7
-0.54444385,4,8
-0.54440215,4,0
-0.54435622,6,8
-0.54431452,6,0
-0.54427281,9,9
-0.54423111,1,4
-0.54418941,0,7
-0.54414771,2,2
-0.54408808,7,9
-0.54404636,1,8
-0.54400465,0,2
-0.54396294,0,5
-0.54392123,5,6
-0.54387953,7,0
-0.54383783,0,NaN
-0.54379157,NaN,NaN
-0.54376551,NaN,NaN
-0.54372381,NaN,NaN
-0.5436821,NaN,NaN
-0.54364041,NaN,NaN
-0.54359871,NaN,NaN
-0.54355701,NaN,NaN
-0.54351532,NaN,NaN
-0.54347362,NaN,NaN
-0.54343192,NaN,NaN
-0.54340065,NaN,NaN
-0.54335535,NaN,NaN
-0.54331365,NaN,NaN
-0.54327194,NaN,NaN
-0.54323024,NaN,NaN
-0.54318853,NaN,NaN
-0.54314682,NaN,NaN
-0.54310511,NaN,NaN
-0.54306341,NaN,NaN
-0.54303018,7,8
-0.54298848,8,9
-0.54294678,8,4
-0.54290509,4,4
-0.54286339,9,5
-0.54282169,0,4
-0.54277999,3,2
-0.54273829,3,0
-0.54269658,2,1
-0.54265488,7,6
-0.54262361,NaN,NaN
-0.54260212,NaN,2
-0.54256043,3,5
-0.54251874,1,NaN
-0.54247705,NaN,NaN
-0.54243535,NaN,1
-0.54239366,9,8
-0.54235197,8,NaN
-0.54231028,NaN,5
-0.54225131,NaN,NaN
-0.54220961,NaN,NaN
-0.54216791,NaN,NaN
-0.54212621,NaN,NaN
-0.54208452,NaN,NaN
-0.54204282,NaN,NaN
-0.54201155,NaN,16
-0.54196854,8,4
-0.54192684,4,1
-0.54188513,2,0
-0.54184343,6,1
-0.54180173,0,4
-0.54176004,5,5
-0.54171834,7,NaN
-0.54166948,NaN,NaN
-0.54162778,NaN,NaN
-0.54158608,NaN,9
-0.54154439,8,1
-0.5415027,0,0
-0.541461,5,NaN
-0.54140139,NaN,NaN
-0.54135969,NaN,NaN
-0.54131799,0,NaN
-0.54127629,NaN,NaN
-0.5412346,NaN,NaN
-0.5411929,NaN,NaN
-0.5411512,NaN,NaN
-0.54111634,NaN,NaN
-0.54106911,6,9
-0.54102742,0,3
-0.54098573,7,7
-0.54094403,2,2
-0.54090234,7,5
-0.54086065,NaN,NaN
-0.54081896,NaN,NaN
-0.54077727,NaN,1
-0.54073558,3,5
-0.54069388,7,9
-0.54063198,NaN,NaN
-0.54059029,4,6
-0.54054859,8,NaN
-0.5405069,NaN,NaN
-0.54046521,NaN,NaN
-0.54042351,NaN,NaN
-0.54038995,NaN,NaN
-0.54034825,NaN,NaN
-0.54030654,NaN,NaN
-0.54026483,3,3
-0.54022311,NaN,NaN
-0.54018141,NaN,NaN
-0.5401397,NaN,NaN
-0.54010711,NaN,NaN
-0.54006542,NaN,NaN
-0.54002372,NaN,NaN
-0.53998202,NaN,NaN
-0.53994033,NaN,NaN
-0.53989862,NaN,NaN
-0.53985433,NaN,NaN
-0.53981263,NaN,NaN
-0.53977093,NaN,NaN
-0.53972304,NaN,NaN
-0.53968135,NaN,NaN
-0.53963964,NaN,NaN
-0.53959795,NaN,NaN
-0.53955625,NaN,NaN
-0.53951456,NaN,NaN
-0.53947286,NaN,NaN
-0.53943116,3,2
-0.53938947,NaN,NaN
-0.53936277,5,3
-0.53932107,6,5
-0.53927937,1,2
-0.53923767,3,3
-0.53919597,5,2
-0.53915427,6,0
-0.53911258,4,0
-0.53907089,4,1
-0.53902919,5,6
-0.53898749,NaN,NaN
-0.53895719,NaN,NaN
-0.53891549,NaN,NaN
-0.53887379,NaN,3
-0.53883209,1,0
-0.53879038,4,1
-0.53874868,7,4
-0.53870697,6,NaN
-0.53865029,NaN,NaN
-0.53860859,NaN,NaN
-0.53856688,NaN,NaN
-0.5385392,5,9
-0.53849749,1,0
-0.53845579,5,NaN
-0.53841408,NaN,NaN
-0.53837238,NaN,NaN
-0.53833069,1,5
-0.53828898,1,8
-0.53824727,6,6
-0.538216,NaN,NaN
-0.53817722,NaN,NaN
-0.53813554,NaN,NaN
-0.53809384,NaN,NaN
-0.53805214,NaN,NaN
-0.53801046,NaN,NaN
-0.53796877,NaN,NaN
-0.53792676,NaN,NaN
-0.53788506,NaN,NaN
-0.53784336,NaN,NaN
-0.53780167,NaN,NaN
-0.53775998,NaN,NaN
-0.53771829,NaN,NaN
-0.53767661,NaN,NaN
-0.53763492,NaN,NaN
-0.53759323,NaN,6
-0.53753525,5,1
-0.53749356,1,6
-0.53745186,3,3
-0.53741017,0,4
-0.53736848,1,1
-0.53732679,8,6
-0.5372851,3,2
-0.53724341,3,1
-0.53720172,3,6
-0.53717045,NaN,8
-0.53714634,6,2
-0.53710464,4,5
-0.53706294,4,8
-0.53702123,5,8
-0.53697954,1,3
-0.53693784,9,8
-0.53689614,3,NaN
-0.53687009,NaN,2
-0.53682839,5,6
-0.53678669,1,3
-0.536745,4,5
-0.53670332,NaN,NaN
-0.53666163,NaN,NaN
-0.53661993,NaN,NaN
-0.53657172,17,14
-0.53653003,0,2
-0.53648833,4,5
-0.53644664,9,8
-0.53640495,7,0
-0.53636325,3,NaN
-0.53633425,NaN,NaN
-0.53629256,2,0
-0.53625087,NaN,NaN
-0.53620917,NaN,NaN
-0.53614793,NaN,NaN
-0.53610623,3,0
-0.53606455,6,3
-0.53600332,5,8
-0.53596162,3,7
-0.53591993,9,0
-0.53587824,6,2
-0.53583656,3,NaN
-0.53579487,NaN,NaN
-0.53575318,NaN,NaN
-0.53571148,NaN,NaN
-0.53566979,NaN,NaN
-0.53562811,NaN,NaN
-0.53558642,NaN,NaN
-0.53552519,2,9
-0.5354835,4,2
-0.53544181,9,8
-0.53540012,6,4
-0.53535843,NaN,NaN
-0.53531674,NaN,NaN
-0.53527505,NaN,NaN
-0.53522327,5,1
-0.53518157,NaN,0
-0.53513988,0,NaN
-0.53509819,NaN,NaN
-0.5350565,NaN,NaN
-0.53501481,6,7
-0.53497311,0,14
-0.53493142,29,35
-0.53487311,NaN,NaN
-0.53483142,NaN,NaN
-0.53478973,NaN,NaN
-0.53474804,NaN,NaN
-0.53470635,NaN,NaN
-0.53466368,NaN,2
-0.53463763,NaN,NaN
-0.53459593,NaN,NaN
-0.53455424,NaN,NaN
-0.53451255,NaN,NaN
-0.53447085,NaN,NaN
-0.53442917,8,2
-0.53438748,2,8
-0.53434579,8,0
-0.53429658,NaN,NaN
-0.53427053,NaN,NaN
-0.53422884,NaN,NaN
-0.53418715,NaN,NaN
-0.53414546,NaN,NaN
-0.53410377,NaN,NaN
-0.53406208,NaN,5
-0.5340204,6,7
-0.53396372,1,5
-0.53392204,2,0
-0.53388035,6,NaN
-0.53383866,NaN,NaN
-0.5338074,NaN,8
-0.53376374,2,8
-0.53372205,5,8
-0.53368035,NaN,NaN
-0.53363865,NaN,NaN
-0.5336129,NaN,NaN
-0.53357121,NaN,6
-0.53352952,0,3
-0.53348784,NaN,6
-0.53343053,7,2
-0.53338883,6,NaN
-0.53334714,NaN,NaN
-0.53330545,NaN,0
-0.53326375,NaN,NaN
-0.53323248,NaN,4
-0.53318981,6,15
-0.53314812,46,59
-0.53310643,56,47
-0.53306474,45,37
-0.53302304,30,26
-0.53298135,22,NaN
-0.532938,NaN,2
-0.5328963,5,4
-0.53285461,4,4
-0.53281292,3,2
-0.53276732,NaN,NaN
-0.53273995,NaN,NaN
-0.53269825,NaN,NaN
-0.53265656,NaN,6
-0.53261485,6,7
-0.53257315,5,4
-0.53253146,1,4
-0.53248977,7,2
-0.5324585,NaN,NaN
-0.5324181,1,9
-0.5323764,6,16
-0.5323347,36,50
-0.53229301,53,41
-0.53225131,32,35
-0.53220962,46,52
-0.53216792,41,23
-0.53212623,2,1
-0.53207768,5,9
-0.53203598,5,5
-0.5319943,1,5
-0.53195065,NaN,NaN
-0.53192784,NaN,NaN
-0.53188615,NaN,NaN
-0.53184445,NaN,NaN
-0.53180275,NaN,NaN
-0.53176106,NaN,NaN
-0.53173339,NaN,NaN
-0.53171514,NaN,NaN
-0.53167345,NaN,NaN
-0.53163175,NaN,NaN
-0.53159006,NaN,1
-0.53154409,3,1
-0.5315024,6,1
-0.5314607,1,2
-0.53141901,6,6
-0.53137731,0,2
-0.53133562,NaN,NaN
-0.53128968,NaN,0
-0.53126688,5,6
-0.53122518,23,3
-0.53118283,1,9
-0.53114113,4,5
-0.53109944,NaN,NaN
-0.53105774,NaN,NaN
-0.53101605,NaN,NaN
-0.53097435,NaN,6
-0.53093266,9,5
-0.53089096,7,18
-0.53084926,23,NaN
-0.53078997,NaN,NaN
-0.53074828,NaN,NaN
-0.53070659,9,1
-0.53066488,NaN,NaN
-0.53062319,NaN,NaN
-0.53058149,NaN,2
-0.5305398,6,0
-0.5304981,3,7
-0.53046682,NaN,NaN
-0.5304336,2,NaN
-0.5303919,NaN,NaN
-0.53035021,8,6
-0.53030852,9,8
-0.53026683,5,4
-0.53022515,NaN,NaN
-0.53017922,NaN,9
-0.53014926,5,7
-0.53010758,6,1
-0.53006588,9,5
-0.5300242,8,3
-0.52998252,8,5
-0.52994083,6,7
-0.52989914,1,NaN
-0.52984344,4,0
-0.52980175,7,4
-0.52976006,4,3
-0.52971838,1,5
-0.5296767,3,2
-0.52963501,7,4
-0.52959334,2,NaN
-0.52956208,NaN,NaN
-0.52951486,NaN,6
-0.52947318,0,6
-0.52943149,7,3
-0.52938981,NaN,NaN
-0.52934812,NaN,NaN
-0.52930642,NaN,NaN
-0.52929014,9,2
-0.52924845,12,42
-0.52920676,58,53
-0.52916507,23,0
-0.52912338,0,7
-0.52908168,3,7
-0.52903999,5,6
-0.52900873,NaN,NaN
-0.52896867,NaN,NaN
-0.52892698,NaN,NaN
-0.52888529,NaN,3
-0.52884359,0,NaN
-0.52880189,NaN,NaN
-0.52877063,NaN,8
-0.52872698,5,3
-0.52868529,7,0
-0.52864359,1,4
-0.52860188,8,NaN
-0.52855335,8,1
-0.52851166,2,5
-0.52846996,NaN,NaN
-0.52842826,NaN,0
-0.52838656,7,6
-0.52834486,2,NaN
-0.52830317,NaN,NaN
-0.52824649,NaN,NaN
-0.5282048,NaN,NaN
-0.52816311,NaN,NaN
-0.52812144,NaN,NaN
-0.52807975,NaN,NaN
-0.52803807,NaN,NaN
-0.52799638,4,6
-0.52795469,NaN,2
