Time,Right,Left
-0.54480131,NaN,NaN
-0.54475961,NaN,NaN
-0.54471789,NaN,NaN
-0.54467617,NaN,NaN
-0.54463446,NaN,NaN
-0.54459276,NaN,NaN
-0.54456897,NaN,NaN
-0.54452726,0.01556396484375,0.01446533203125
-0.54448556,0.014129638671875,0.014312744140625
-0.54444385,0.01470947265625,0.014892578125
-0.54440215,0.0150146484375,0.0157470703125
-0.54435622,0.0146484375,0.01397705078125
-0.54431452,0.01373291015625,0.01361083984375
-0.54427281,0.013641357421875,0.013946533203125
-0.54423111,0.014495849609375,0.0150146484375
-0.54418941,0.01513671875,0.014923095703125
-0.54414771,0.0147705078125,0.0147705078125
-0.54408808,0.015228271484375,0.015777587890625
-0.54404636,0.015716552734375,0.01519775390625
-0.54400465,0.0145263671875,0.01446533203125
-0.54396294,0.0145263671875,0.014678955078125
-0.54392123,0.014678955078125,0.01434326171875
-0.54387953,0.014312744140625,0.01483154296875
-0.54383783,0.0157470703125,0.016265869140625
-0.54379157,NaN,NaN
-0.54376551,NaN,NaN
-0.54372381,NaN,NaN
-0.5436821,NaN,NaN
-0.54364041,NaN,NaN
-0.54359871,NaN,NaN
-0.54355701,NaN,NaN
-0.54351532,NaN,NaN
-0.54347362,NaN,NaN
-0.54343192,NaN,NaN
-0.54340065,NaN,NaN
-0.54335535,NaN,NaN
-0.54331365,NaN,NaN
-0.54327194,NaN,NaN
-0.54323024,NaN,NaN
-0.54318853,NaN,NaN
-0.54314682,NaN,0.01629638671875
-0.54310511,NaN,NaN
-0.54306341,NaN,NaN
-0.54303018,0.014312744140625,0.01458740234375
-0.54298848,0.014892578125,0.015167236328125
-0.54294678,0.01519775390625,0.0150146484375
-0.54290509,0.01470947265625,0.01470947265625
-0.54286339,0.015167236328125,0.015594482421875
-0.54282169,0.01544189453125,0.0150146484375
-0.54277999,0.014739990234375,0.0147705078125
-0.54273829,0.015045166015625,0.01544189453125
-0.54269658,0.01568603515625,0.015716552734375
-0.54265488,0.015533447265625,0.0152587890625
-0.54262361,NaN,NaN
-0.54260212,0.016082763671875,0.01568603515625
-0.54256043,0.015655517578125,0.015899658203125
-0.54251874,0.016021728515625,NaN
-0.54247705,NaN,NaN
-0.54243535,NaN,0.015716552734375
-0.54239366,0.015167236328125,0.01519775390625
-0.54235197,0.01580810546875,0.016326904296875
-0.54231028,0.01617431640625,0.015594482421875
-0.54225131,NaN,NaN
-0.54220961,NaN,NaN
-0.54216791,NaN,NaN
-0.54212621,NaN,NaN
-0.54208452,NaN,NaN
-0.54204282,NaN,NaN
-0.54201155,NaN,0.0128173828125
-0.54196854,0.013671875,0.014404296875
-0.54192684,0.01470947265625,0.014801025390625
-0.54188513,0.0147705078125,0.01483154296875
-0.54184343,0.01495361328125,0.015106201171875
-0.54180173,0.01483154296875,0.01470947265625
-0.54176004,0.014984130859375,0.014984130859375
-0.54171834,0.015228271484375,NaN
-0.54166948,0.016326904296875,NaN
-0.54162778,NaN,NaN
-0.54158608,0.016204833984375,0.015777587890625
-0.54154439,0.01580810546875,0.016021728515625
-0.5415027,0.01605224609375,0.0157470703125
-0.541461,0.015289306640625,NaN
-0.54140139,NaN,NaN
-0.54135969,NaN,NaN
-0.54131799,0.01605224609375,0.016265869140625
-0.54127629,NaN,0.016326904296875
-0.5412346,NaN,NaN
-0.5411929,NaN,NaN
-0.5411512,NaN,NaN
-0.54111634,NaN,NaN
-0.54106911,0.013427734375,0.014251708984375
-0.54102742,0.01513671875,0.015350341796875
-0.54098573,0.015228271484375,0.015228271484375
-0.54094403,0.015380859375,0.01568603515625
-0.54090234,0.015838623046875,0.015899658203125
-0.54086065,0.01629638671875,NaN
-0.54081896,NaN,NaN
-0.54077727,NaN,0.015716552734375
-0.54073558,0.015350341796875,0.015289306640625
-0.54069388,0.015228271484375,0.015167236328125
-0.54063198,NaN,NaN
-0.54059029,0.01593017578125,0.01556396484375
-0.54054859,0.01580810546875,0.016265869140625
-0.5405069,NaN,NaN
-0.54046521,NaN,NaN
-0.54042351,NaN,NaN
-0.54038995,NaN,NaN
-0.54034825,0.01629638671875,0.016143798828125
-0.54030654,NaN,0.016082763671875
-0.54026483,0.015960693359375,0.015960693359375
-0.54022311,0.016143798828125,0.016265869140625
-0.54018141,NaN,NaN
-0.5401397,0.016204833984375,NaN
-0.54010711,0.01617431640625,NaN
-0.54006542,NaN,NaN
-0.54002372,NaN,NaN
-0.53998202,NaN,NaN
-0.53994033,NaN,NaN
-0.53989862,NaN,NaN
-0.53985433,NaN,NaN
-0.53981263,NaN,NaN
-0.53977093,NaN,NaN
-0.53972304,NaN,NaN
-0.53968135,NaN,NaN
-0.53963964,NaN,NaN
-0.53959795,NaN,NaN
-0.53955625,NaN,NaN
-0.53951456,NaN,NaN
-0.53947286,NaN,NaN
-0.53943116,0.015960693359375,0.0159912109375
-0.53938947,NaN,NaN
-0.53936277,0.014678955078125,0.013824462890625
-0.53932107,0.013427734375,0.013458251953125
-0.53927937,0.013580322265625,0.01416015625
-0.53923767,0.014739990234375,0.015045166015625
-0.53919597,0.014984130859375,0.01507568359375
-0.53915427,0.01556396484375,0.01544189453125
-0.53911258,0.0150146484375,0.01513671875
-0.53907089,0.01531982421875,0.015106201171875
-0.53902919,0.014678955078125,0.01495361328125
-0.53898749,0.01611328125,NaN
-0.53895719,NaN,NaN
-0.53891549,NaN,NaN
-0.53887379,0.0162353515625,0.015655517578125
-0.53883209,0.015106201171875,0.01483154296875
-0.53879038,0.0150146484375,0.015411376953125
-0.53874868,0.015533447265625,0.015625
-0.53870697,0.015869140625,NaN
-0.53865029,NaN,NaN
-0.53860859,NaN,NaN
-0.53856688,NaN,NaN
-0.5385392,0.014678955078125,0.014556884765625
-0.53849749,0.014190673828125,0.01422119140625
-0.53845579,0.014984130859375,NaN
-0.53841408,NaN,NaN
-0.53837238,NaN,NaN
-0.53833069,0.015411376953125,0.014678955078125
-0.53828898,0.014495849609375,0.0142822265625
-0.53824727,0.01434326171875,0.01434326171875
-0.538216,NaN,NaN
-0.53817722,NaN,NaN
-0.53813554,NaN,NaN
-0.53809384,NaN,NaN
-0.53805214,NaN,NaN
-0.53801046,NaN,NaN
-0.53796877,NaN,NaN
-0.53792676,NaN,NaN
-0.53788506,NaN,NaN
-0.53784336,NaN,NaN
-0.53780167,NaN,NaN
-0.53775998,NaN,NaN
-0.53771829,NaN,NaN
-0.53767661,NaN,NaN
-0.53763492,NaN,NaN
-0.53759323,NaN,0.0146484375
-0.53753525,0.014373779296875,0.014190673828125
-0.53749356,0.014495849609375,0.01495361328125
-0.53745186,0.015045166015625,0.014739990234375
-0.53741017,0.01422119140625,0.0137939453125
-0.53736848,0.013885498046875,0.014190673828125
-0.53732679,0.0142822265625,0.0140380859375
-0.5372851,0.013519287109375,0.01324462890625
-0.53724341,0.013519287109375,0.014190673828125
-0.53720172,0.015045166015625,0.0152587890625
-0.53717045,NaN,0.0155029296875
-0.53714634,0.0152587890625,0.0147705078125
-0.53710464,0.014404296875,0.014373779296875
-0.53706294,0.014404296875,0.0142822265625
-0.53702123,0.014068603515625,0.01397705078125
-0.53697954,0.014190673828125,0.014434814453125
-0.53693784,0.014862060546875,0.01519775390625
-0.53689614,0.015045166015625,NaN
-0.53687009,0.01617431640625,0.01568603515625
-0.53682839,0.015289306640625,0.0152587890625
-0.53678669,0.015106201171875,0.015045166015625
-0.536745,0.01531982421875,0.015899658203125
-0.53670332,NaN,NaN
-0.53666163,NaN,NaN
-0.53661993,NaN,NaN
-0.53657172,0.012786865234375,0.01287841796875
-0.53653003,0.0130615234375,0.01385498046875
-0.53648833,0.014404296875,0.014373779296875
-0.53644664,0.013946533203125,0.013671875
-0.53640495,0.014007568359375,0.0145263671875
-0.53636325,0.014739990234375,NaN
-0.53633425,NaN,NaN
-0.53629256,0.0159912109375,0.0157470703125
-0.53625087,0.016143798828125,NaN
-0.53620917,NaN,NaN
-0.53614793,NaN,NaN
-0.53610623,0.015655517578125,0.01483154296875
-0.53606455,0.0146484375,0.015045166015625
-0.53600332,0.014373779296875,0.014892578125
-0.53596162,0.015045166015625,0.014923095703125
-0.53591993,0.015167236328125,0.01544189453125
-0.53587824,0.01556396484375,0.01568603515625
-0.53583656,0.015960693359375,0.016326904296875
-0.53579487,NaN,NaN
-0.53575318,NaN,NaN
-0.53571148,NaN,NaN
-0.53566979,NaN,NaN
-0.53562811,NaN,NaN
-0.53558642,NaN,NaN
-0.53552519,0.01385498046875,0.014251708984375
-0.5354835,0.01470947265625,0.0147705078125
-0.53544181,0.014556884765625,0.01458740234375
-0.53540012,0.01495361328125,0.015625
-0.53535843,NaN,NaN
-0.53531674,NaN,NaN
-0.53527505,NaN,NaN
-0.53522327,0.015899658203125,0.016021728515625
-0.53518157,0.01611328125,0.01605224609375
-0.53513988,0.01605224609375,0.0162353515625
-0.53509819,NaN,NaN
-0.5350565,NaN,NaN
-0.53501481,0.015869140625,0.014617919921875
-0.53497311,0.01361083984375,0.01287841796875
-0.53493142,0.012420654296875,0.012237548828125
-0.53487311,NaN,NaN
-0.53483142,NaN,NaN
-0.53478973,NaN,NaN
-0.53474804,NaN,NaN
-0.53470635,NaN,NaN
-0.53466368,NaN,0.0159912109375
-0.53463763,NaN,NaN
-0.53459593,NaN,NaN
-0.53455424,NaN,NaN
-0.53451255,NaN,NaN
-0.53447085,NaN,NaN
-0.53442917,0.0155029296875,0.01507568359375
-0.53438748,0.01507568359375,0.01519775390625
-0.53434579,0.01519775390625,0.01513671875
-0.53429658,NaN,NaN
-0.53427053,NaN,NaN
-0.53422884,NaN,NaN
-0.53418715,NaN,NaN
-0.53414546,NaN,NaN
-0.53410377,NaN,NaN
-0.53406208,NaN,0.015289306640625
-0.5340204,0.01434326171875,0.000213623046875
-0.53396372,0.000030517578125,0.000152587890625
-0.53392204,0.00006103515625,0
-0.53388035,0.00018310546875,NaN
-0.53383866,NaN,NaN
-0.5338074,NaN,0.01519775390625
-0.53376374,0.015380859375,0.0155029296875
-0.53372205,0.015594482421875,0.01580810546875
-0.53368035,0.0162353515625,NaN
-0.53363865,NaN,NaN
-0.5336129,NaN,NaN
-0.53357121,0.016265869140625,0.01556396484375
-0.53352952,0.01544189453125,0.015960693359375
-0.53348784,NaN,0.01495361328125
-0.53343053,0.014312744140625,0.01446533203125
-0.53338883,0.0152587890625,NaN
-0.53334714,NaN,NaN
-0.53330545,0.01617431640625,0.01605224609375
-0.53326375,NaN,NaN
-0.53323248,NaN,0.014404296875
-0.53318981,0.01373291015625,0.012847900390625
